lambda,train_mse,val_mse
0,0.384323,0.424172
1e-06,0.384323,0.424172
0.0001,0.384323,0.424172
0.01,0.384323,0.424173
0.1,0.384323,0.424175
1,0.384324,0.424203
10,0.384386,0.424599
100,0.387196,0.431917
1000,0.416852,0.464624
