lambda,train_mse,val_mse
0,4567.18,1211.21
1e-06,4567.18,1211.21
0.0001,4567.18,1211.21
0.01,4567.18,1211.16
0.1,4567.18,1210.69
1,4567.36,1205.24
10,4573.06,1163.47
100,4623.08,1037.06
1000,4718.23,936.625
