iter,train_mse
456,0.57254
457,0.572537
458,0.572533
459,0.57253
460,0.572526
461,0.572523
462,0.57252
463,0.572516
464,0.572513
465,0.572509
466,0.572506
467,0.572502
468,0.572499
469,0.572496
470,0.572492
471,0.572489
472,0.572486
473,0.572482
474,0.572479
475,0.572476
476,0.572472
477,0.572469
478,0.572466
479,0.572462
480,0.572459
481,0.572456
482,0.572453
483,0.572449
484,0.572446
485,0.572443
486,0.57244
487,0.572437
488,0.572433
489,0.57243
490,0.572427
491,0.572424
492,0.572421
493,0.572418
494,0.572414
495,0.572411
496,0.572408
497,0.572405
498,0.572402
499,0.572399
500,0.572396
501,0.572393
502,0.572389
503,0.572386
504,0.572383
505,0.57238
506,0.572377
507,0.572374
508,0.572371
509,0.572368
510,0.572365
511,0.572362
512,0.572359
513,0.572356
514,0.572353
515,0.57235
516,0.572347
517,0.572344
518,0.572341
519,0.572338
520,0.572335
521,0.572332
522,0.572329
523,0.572326
524,0.572323
525,0.57232
526,0.572317
527,0.572315
528,0.572312
529,0.572309
530,0.572306
531,0.572303
532,0.5723
533,0.572297
534,0.572294
535,0.572291
536,0.572288
537,0.572286
538,0.572283
539,0.57228
540,0.572277
541,0.572274
542,0.572271
543,0.572268
544,0.572266
545,0.572263
546,0.57226
547,0.572257
548,0.572254
549,0.572252
550,0.572249
551,0.572246
552,0.572243
553,0.57224
554,0.572238
555,0.572235
556,0.572232
557,0.572229
558,0.572226
559,0.572224
560,0.572221
561,0.572218
562,0.572215
563,0.572213
564,0.57221
565,0.572207
566,0.572204
567,0.572202
568,0.572199
569,0.572196
570,0.572193
571,0.572191
572,0.572188
573,0.572185
574,0.572183
575,0.57218
576,0.572177
577,0.572175
578,0.572172
579,0.572169
580,0.572166
581,0.572164
582,0.572161
583,0.572158
584,0.572156
585,0.572153
586,0.57215
587,0.572148
588,0.572145
589,0.572142
590,0.57214
591,0.572137
592,0.572135
593,0.572132
594,0.572129
595,0.572127
596,0.572124
597,0.572121
598,0.572119
599,0.572116
600,0.572114
601,0.572111
602,0.572108
603,0.572106
604,0.572103
605,0.572101
606,0.572098
607,0.572095
608,0.572093
609,0.57209
610,0.572088
611,0.572085
612,0.572082
613,0.57208
614,0.572077
615,0.572075
616,0.572072
617,0.57207
618,0.572067
619,0.572065
620,0.572062
621,0.572059
622,0.572057
623,0.572054
624,0.572052
625,0.572049
626,0.572047
627,0.572044
628,0.572042
629,0.572039
630,0.572037
631,0.572034
632,0.572032
633,0.572029
634,0.572027
635,0.572024
636,0.572022
637,0.572019
638,0.572017
639,0.572014
640,0.572012
641,0.572009
642,0.572007
643,0.572004
644,0.572002
645,0.571999
646,0.571997
647,0.571994
648,0.571992
649,0.571989
650,0.571987
651,0.571984
652,0.571982
653,0.571979
654,0.571977
655,0.571975
