lambda,train_mse,val_mse
0,815294,2.12462e+07
1e-06,815294,2.12462e+07
0.0001,815294,2.12449e+07
0.01,815499,2.11023e+07
0.1,820685,1.9738e+07
1,904411,1.69058e+07
10,1.48925e+06,1.38371e+07
100,2.64032e+06,1.13909e+07
1000,5.19548e+06,6.56482e+06
